Student_Names,Phone_No.,CIA_1,CIA_2,CIA_3,Grade,Comment,Roll No.,School Name,Student Address
Donald Contreras,9208625450.0,76.0,84.0,54.0,B+,Good Pursuance,524613,Martin Luther School,"478 Mooney Park, New Valerie, VI 28836"
Joseph Horton,9886408555.0,91.0,75.0,78.0,A,Very Good Achivement,561635,Martin Luther School,"037 Matthew Shores, Greeneton, CA 98399"
Savannah Burns MD,9047592659.0,64.0,98.0,20.0,C,Below Average Achivement,560985,Martin Luther School,"96124 Lloyd Streets, Edwardmouth, DC 61677"
William Carter,9048473864.0,15.0,95.0,32.0,D,Poor Pursuance,535126,Martin Luther School,"11959 Clark Village, Ivanview, NH 43940"
John Rodriguez,9685225730.0,86.0,86.0,66.0,B+,Good Pursuance,559410,Martin Luther School,"051 Weaver Glen Apt. 724, West Davidborough, MT 06034"
Natalie Nash,9966112184.0,18.0,41.0,11.0,F,Failed,564296,Martin Luther School,"1269 Joel Village, New Josephshire, WA 54166"
Ronald Ellison,9720465847.0,86.0,50.0,38.0,C,Below Average Achivement,580403,Martin Luther School,"4115 Melanie Shores Suite 379, Wilsonshire, VA 43126"
Robert Perez,9923267462.0,14.0,55.0,19.0,F,Failed,580380,Martin Luther School,"27035 Fisher Heights Suite 293, Guerrerohaven, MI 54904"
Marilyn Curry,9085338581.0,100.0,38.0,14.0,D,Poor Pursuance,523556,Martin Luther School,"1037 Kevin Stream, Dannyland, WI 12172"
Katherine Lambert,9393898645.0,29.0,51.0,50.0,D,Poor Pursuance,527497,Martin Luther School,"67075 Zoe Lock Apt. 777, North Cherylton, WV 75840"
Timothy Torres,9781807518.0,19.0,25.0,25.0,F,Failed,582730,Martin Luther School,"1930 Craig Gardens Apt. 951, Coleshire, PA 42090"
Rachel Price,9054546045.0,30.0,45.0,60.0,D,Poor Pursuance,527744,Martin Luther School,"16815 Barker Manors Suite 847, Julieberg, NH 02676"
Elaine Wright,9170628674.0,30.0,31.0,53.0,D,Poor Pursuance,549732,Martin Luther School,"Unit 2025 Box 6383, DPO AE 95952"
Shannon Anderson,9169011390.0,31.0,89.0,96.0,B+,Good Pursuance,546564,Martin Luther School,"165 Ryan Park Suite 290, Wilkersonmouth, MD 51642"
Jordan Watkins,9936800225.0,55.0,33.0,79.0,C,Below Average Achivement,554410,Martin Luther School,"982 Hernandez Route Suite 469, Chaneytown, MS 96703"
Angela Newman,9383285056.0,84.0,62.0,72.0,B+,Good Pursuance,596761,Martin Luther School,"52805 Peterson Meadows Suite 471, Johnshire, NH 63390"
Mike Parsons,9225405566.0,72.0,58.0,64.0,B,Average Performance,566223,Martin Luther School,"825 Thomas Trail, North Matthewstad, MS 55091"
Edward Holt,9555876424.0,57.0,31.0,16.0,D,Poor Pursuance,541171,Martin Luther School,"744 Catherine Drive Suite 291, Lake Roybury, ND 50708"
Brandi Lewis,9795776565.0,52.0,18.0,100.0,C,Below Average Achivement,546803,Martin Luther School,"Unit 6253 Box 8207, DPO AA 08935"
Jasmine English,9362949427.0,68.0,38.0,55.0,C,Below Average Achivement,543048,Martin Luther School,"6693 Tammy Springs Suite 166, East Kristin, NV 08415"
Christopher Gross,9370601411.0,40.0,55.0,75.0,C,Below Average Achivement,574175,Martin Luther School,"402 Ashley Drive Suite 025, Dawnland, HI 13274"
Matthew Garcia,9902466283.0,69.0,18.0,48.0,D,Poor Pursuance,532130,Martin Luther School,"6141 Brandy Fords Apt. 403, Amberside, AZ 39596"
Andrea Edwards,9566544018.0,30.0,38.0,100.0,C,Below Average Achivement,574914,Martin Luther School,"8454 Antonio Pike, Jamesberg, WA 47501"
Brittany Howard,9858705702.0,76.0,13.0,32.0,D,Poor Pursuance,553405,Martin Luther School,"96006 Cody Union Apt. 202, Guzmanchester, NC 34103"
Joseph Morgan,9502491383.0,77.0,56.0,39.0,C,Below Average Achivement,581182,Martin Luther School,"269 Ann Tunnel, Port Kimville, PA 81506"
Christine Taylor,9038364601.0,29.0,86.0,90.0,B,Average Performance,574222,Martin Luther School,"228 Peter Extension Apt. 828, New Jasmineburgh, KY 73772"
Justin Thompson,9448199726.0,16.0,28.0,98.0,D,Poor Pursuance,557489,Martin Luther School,"Unit 6609 Box 7074, DPO AE 76585"
